user,isMember,isVolunteer,userRole,gender,age,skill,location,status,programName,hoursContribution,averageRating,donation,membershipPayment,dateJoined,donationDuplicate,targetDonation,programVolunteers,volunteerApplicationStatus
Rebecca Hall,False,False,,male,32,nursing,Quezon City,active,Health Mission,0,,1567.49,0,2025-05-28,1567.49,15632,6,denied
Jeremy Mcintyre,False,False,,prefer not to say,42,event planning,Quezon City,active,Disaster Relief,0,,3477.14,0,2024-11-22,3477.14,11095,14,approved
Ms. Alejandra Davies,False,False,,female,64,cooking,Baguio,inactive,Tree Planting,0,,4304.85,0,2024-04-24,4304.85,11138,29,majority approved
Ryan Robinson,True,True,admin,male,37,cooking,Iloilo,active,Disaster Relief,56,3.03,2737.48,2000,2024-10-11,2737.48,10614,29,
Phillip Thompson,False,True,,female,46,cooking,Baguio,inactive,Health Mission,51,3.78,1986.7,0,2023-05-12,1986.7,11131,13,
Matthew Simpson,False,False,,male,42,cooking,Manila,inactive,Literacy Drive,0,,3246.56,0,2024-06-16,3246.56,8759,33,denied
Jeffrey Walsh,True,True,program coordinator,female,42,event planning,Iloilo,active,Feeding Program,112,3.07,1315.32,1000,2025-06-01,1315.32,9057,15,
Brett Russo,False,True,,male,63,fundraising,Iloilo,active,Disaster Relief,75,1.71,4877.48,0,2025-02-28,4877.48,7380,28,
Deborah Thomas,False,False,,male,27,nursing,Quezon City,inactive,Health Mission,0,,510.76,0,2023-06-20,510.76,18329,19,approved
Connie Campbell,False,True,,female,27,cooking,Iloilo,active,Health Mission,176,1.82,1664.18,0,2022-11-05,1664.18,8318,41,
Cassie Espinoza,False,False,,female,61,nursing,Baguio,inactive,Literacy Drive,0,,2371.9,0,2023-06-11,2371.9,12252,40,denied
Anthony Walton,False,True,,male,38,cooking,Baguio,inactive,Tree Planting,14,3.97,2426.95,0,2024-01-02,2426.95,10557,33,
Bobby Wright,False,False,,prefer not to say,61,nursing,Baguio,inactive,Health Mission,0,,2722.08,0,2024-11-09,2722.08,12200,7,majority approved
Cynthia Acosta,True,True,admin,female,63,fundraising,Baguio,inactive,Disaster Relief,187,3.34,2058.6,1500,2023-05-21,2058.6,11645,6,
Timothy Hernandez,False,False,,male,29,cooking,Zamboanga,inactive,Health Mission,0,,1704.62,0,2024-02-28,1704.62,14854,19,denied
Brian Tran,True,True,financial coordinator,female,48,nursing,Cebu,inactive,Tree Planting,16,3.51,3590.98,1500,2024-06-01,3590.98,9917,39,
Candice Potts,False,False,,male,29,teaching,Quezon City,active,Literacy Drive,0,,4726.9,0,2024-04-23,4726.9,11017,30,approved
Rachel Olson,True,True,financial coordinator,female,49,IT support,Quezon City,active,Feeding Program,185,1.17,2671.36,500,2023-11-25,2671.36,7721,22,
Wendy Smith,False,False,,female,47,teaching,Zamboanga,inactive,Feeding Program,0,,3687.77,0,2024-04-06,3687.77,13705,10,majority approved
Richard Walls,True,True,financial coordinator,prefer not to say,43,IT support,Iloilo,active,Literacy Drive,148,1.44,4848.21,500,2025-02-07,4848.21,18367,17,
Joshua Stewart,False,False,,male,41,cooking,Cebu,active,Literacy Drive,0,,2939.87,0,2022-07-21,2939.87,8849,49,denied
Robert Miller,False,False,,female,31,nursing,Baguio,inactive,Health Mission,0,,2815.26,0,2024-11-26,2815.26,15717,46,approved
Mark Torres,False,False,,male,18,cooking,Quezon City,inactive,Literacy Drive,0,,667.79,0,2022-10-30,667.79,18807,7,approved
Heather Farmer,False,False,,male,35,fundraising,Davao,active,Tree Planting,0,,4294.08,0,2024-09-03,4294.08,9876,24,approved
Andrew Watts,False,True,,male,30,event planning,Baguio,inactive,Literacy Drive,172,4.24,3537.3,0,2023-11-04,3537.3,18869,41,
Robert Dunn,False,True,,female,32,IT support,Baguio,active,Feeding Program,160,3.46,2734.44,0,2025-02-02,2734.44,13837,22,
William Peterson,False,False,,male,54,IT support,Manila,inactive,Feeding Program,0,,732.57,0,2023-04-11,732.57,6028,40,majority approved
Dr. Jessica Thompson DVM,False,True,,male,42,cooking,Quezon City,active,Health Mission,155,3.47,3804.17,0,2024-01-21,3804.17,11326,36,
Charles Wong,False,True,,male,48,teaching,Manila,inactive,Disaster Relief,115,4.48,2814.85,0,2022-10-21,2814.85,14416,10,
Peter Roth,False,False,,male,58,nursing,Davao,inactive,Literacy Drive,0,,4870.36,0,2022-08-03,4870.36,7266,42,denied
Joseph Reynolds,False,True,,female,62,cooking,Iloilo,inactive,Health Mission,74,1.66,3184.31,0,2023-02-24,3184.31,8911,21,
Joseph Curtis,False,False,,male,43,nursing,Iloilo,inactive,Tree Planting,0,,4310.14,0,2023-02-05,4310.14,13857,21,denied
Nicholas Robbins,False,True,,female,29,fundraising,Quezon City,active,Disaster Relief,93,4.27,3532.84,0,2024-09-02,3532.84,14354,39,
Mrs. Barbara Edwards DVM,True,True,content manager,male,56,nursing,Zamboanga,inactive,Feeding Program,174,1.96,4240.11,500,2023-07-28,4240.11,15663,23,
Claire Valdez,False,True,,male,51,IT support,Iloilo,inactive,Tree Planting,87,4.63,694.64,0,2023-09-25,694.64,10872,28,
Kristin Banks,False,False,,prefer not to say,39,IT support,Baguio,inactive,Health Mission,0,,2080.55,0,2022-08-17,2080.55,19168,33,approved
Jesse Sanchez,False,True,,male,19,teaching,Davao,active,Disaster Relief,92,3.76,3062.18,0,2022-06-29,3062.18,19110,29,
Anthony Gonzales,False,False,,female,27,IT support,Manila,active,Disaster Relief,0,,2860.44,0,2023-02-24,2860.44,9976,34,majority approved
Sandra Duffy,False,False,,prefer not to say,37,fundraising,Cebu,inactive,Disaster Relief,0,,4680.57,0,2023-03-18,4680.57,10752,10,denied
Victoria Berger,True,True,program coordinator,female,58,nursing,Cebu,inactive,Literacy Drive,22,3.1,2721.01,500,2023-11-22,2721.01,11577,17,
Jason Olson,False,False,,male,59,IT support,Iloilo,active,Disaster Relief,0,,4205.87,0,2022-09-22,4205.87,18634,37,majority approved
Dawn Wagner,True,True,financial coordinator,female,41,nursing,Cebu,inactive,Tree Planting,6,2.9,3406.67,1500,2023-12-11,3406.67,9138,21,
John Crawford,False,False,,female,63,cooking,Iloilo,inactive,Tree Planting,0,,3605.79,0,2024-12-12,3605.79,6584,9,approved
Jacob Webb,True,True,admin,male,64,cooking,Iloilo,inactive,Literacy Drive,125,1.42,1847.93,1500,2022-08-13,1847.93,13009,35,
Samantha Carroll,False,True,,female,39,cooking,Cebu,active,Tree Planting,67,2.5,2238.12,0,2024-11-27,2238.12,19557,48,
Timothy Tucker,True,True,content manager,female,54,event planning,Quezon City,inactive,Tree Planting,156,4.78,4894.24,2000,2022-10-10,4894.24,11417,43,
Samuel Johnson,False,True,,male,52,nursing,Zamboanga,inactive,Disaster Relief,38,4.49,4875.55,0,2023-05-16,4875.55,8608,9,
Aaron Martin,False,False,,female,41,teaching,Cebu,active,Feeding Program,0,,17.67,0,2023-05-24,17.67,13635,27,majority approved
Deborah Gonzalez PhD,False,False,,male,23,event planning,Iloilo,inactive,Disaster Relief,0,,1038.17,0,2023-04-19,1038.17,7057,22,denied
Clayton Vaughan,False,False,,male,54,IT support,Baguio,active,Literacy Drive,0,,4026.8,0,2024-12-11,4026.8,6334,40,majority approved
Gabrielle Cordova,True,True,program coordinator,male,46,teaching,Baguio,active,Tree Planting,43,4.19,881.82,1000,2023-06-06,881.82,11015,20,
Brandon Sharp,False,True,,male,41,IT support,Iloilo,inactive,Disaster Relief,94,4.52,2846.26,0,2024-01-30,2846.26,10179,44,
Anthony Bates,True,True,financial coordinator,female,37,IT support,Quezon City,inactive,Tree Planting,112,1.07,557.37,2000,2023-04-04,557.37,17155,10,
Christina Cochran,False,False,,female,60,nursing,Manila,active,Literacy Drive,0,,1503.35,0,2023-12-07,1503.35,19276,18,approved
Brittany Smith,True,True,financial coordinator,female,19,fundraising,Baguio,inactive,Disaster Relief,93,4.66,3567.0,1500,2024-02-01,3567.0,13207,15,
Casey Hawkins,False,False,,male,53,cooking,Quezon City,inactive,Feeding Program,0,,3165.17,0,2023-03-10,3165.17,9695,39,majority approved
Jeffrey Stephens,False,False,,female,60,cooking,Baguio,active,Feeding Program,0,,416.74,0,2024-11-02,416.74,8992,17,majority approved
Christine Walker,False,False,,female,23,teaching,Quezon City,active,Tree Planting,0,,3540.16,0,2023-11-04,3540.16,16057,24,approved
Alex Bailey,True,True,content manager,female,35,cooking,Iloilo,inactive,Disaster Relief,86,2.49,1040.96,2000,2024-12-03,1040.96,19998,19,
Joshua Nelson,True,True,program coordinator,male,51,fundraising,Iloilo,inactive,Feeding Program,58,3.56,2649.47,1500,2022-07-02,2649.47,13796,20,
Sean Stout,False,False,,prefer not to say,36,nursing,Manila,active,Tree Planting,0,,1771.99,0,2023-07-22,1771.99,12969,31,majority approved
Brian Sanchez DVM,False,True,,male,30,cooking,Iloilo,inactive,Disaster Relief,111,4.76,915.04,0,2022-09-27,915.04,14184,24,
Melissa Wells,False,False,,male,45,cooking,Baguio,inactive,Feeding Program,0,,3291.54,0,2025-01-19,3291.54,5175,28,majority approved
Rachel Cardenas,False,False,,male,27,cooking,Zamboanga,inactive,Health Mission,0,,2922.37,0,2023-01-16,2922.37,7938,5,approved
Amy Juarez,False,False,,male,65,fundraising,Baguio,active,Literacy Drive,0,,924.3,0,2025-01-08,924.3,6067,32,approved
Lorraine Austin,True,True,content manager,male,46,event planning,Zamboanga,inactive,Literacy Drive,16,3.41,4275.36,1000,2022-08-01,4275.36,15363,45,
Samantha Browning,False,False,,male,38,fundraising,Baguio,active,Feeding Program,0,,3450.31,0,2025-04-04,3450.31,12634,11,approved
Robert Smith,False,False,,male,60,event planning,Iloilo,active,Health Mission,0,,4459.12,0,2022-10-07,4459.12,7476,23,denied
Lauren Hernandez,False,False,,female,37,teaching,Cebu,inactive,Health Mission,0,,4556.6,0,2024-08-24,4556.6,18173,32,denied
Steven Blanchard,True,True,content manager,female,46,event planning,Baguio,active,Feeding Program,110,1.03,3519.31,2000,2023-09-29,3519.31,19697,21,
William Gray,False,False,,male,54,IT support,Zamboanga,active,Tree Planting,0,,851.72,0,2024-07-29,851.72,15576,34,majority approved
Dakota Frost,False,True,,male,38,fundraising,Zamboanga,inactive,Disaster Relief,115,4.11,4471.5,0,2024-05-28,4471.5,5465,28,
Nicholas Becker,False,False,,male,18,event planning,Manila,active,Tree Planting,0,,352.18,0,2024-04-22,352.18,8387,31,approved
Steven Pearson,True,True,content manager,male,34,cooking,Cebu,inactive,Health Mission,40,2.06,2428.76,1500,2024-10-29,2428.76,14440,12,
Jonathan Wallace,False,True,,male,19,fundraising,Manila,inactive,Health Mission,173,1.82,3241.41,0,2024-11-19,3241.41,19496,50,
Wesley Wallace,False,True,,male,47,cooking,Davao,inactive,Tree Planting,126,4.95,4769.14,0,2024-03-25,4769.14,19516,6,
Chelsea Lawson,True,True,content manager,female,46,cooking,Manila,inactive,Tree Planting,7,2.15,4933.2,1500,2023-02-06,4933.2,6133,10,
Emma Meyer,False,True,,male,47,cooking,Davao,inactive,Literacy Drive,85,1.49,3262.2,0,2024-01-10,3262.2,16397,10,
Edward Sanders,True,True,program coordinator,female,38,teaching,Baguio,active,Literacy Drive,132,2.59,2623.58,1000,2022-09-13,2623.58,8550,49,
Ana Horn,False,False,,female,33,IT support,Davao,inactive,Tree Planting,0,,1596.63,0,2024-09-29,1596.63,17069,27,denied
Allison Charles,False,False,,prefer not to say,61,IT support,Manila,active,Literacy Drive,0,,3859.13,0,2025-03-31,3859.13,8707,42,majority approved
John Castro,False,False,,male,46,teaching,Quezon City,active,Literacy Drive,0,,362.96,0,2024-01-12,362.96,14905,42,approved
Lisa Thomas,False,False,,female,45,cooking,Davao,inactive,Tree Planting,0,,4465.82,0,2025-04-07,4465.82,13731,8,approved
Beverly Palmer,False,False,,male,55,teaching,Davao,inactive,Disaster Relief,0,,4041.4,0,2023-11-26,4041.4,8415,14,approved
Lisa Schmidt,True,True,admin,prefer not to say,40,fundraising,Manila,inactive,Tree Planting,59,3.61,3623.01,1000,2024-08-01,3623.01,19539,32,
Shawn Berry,True,True,admin,male,65,teaching,Quezon City,inactive,Literacy Drive,144,2.26,810.74,1000,2023-08-29,810.74,14613,34,
David Villa DDS,False,False,,male,61,nursing,Zamboanga,active,Literacy Drive,0,,1472.15,0,2025-04-15,1472.15,17827,33,majority approved
Andrew Smith,False,True,,female,61,nursing,Quezon City,active,Disaster Relief,81,2.11,263.0,0,2024-09-14,263.0,17273,16,
Jason Wright,False,False,,male,59,teaching,Quezon City,inactive,Health Mission,0,,2413.94,0,2023-10-22,2413.94,5254,28,denied
Steven Anderson,True,True,content manager,male,61,nursing,Cebu,active,Tree Planting,68,4.65,4979.28,1500,2024-02-12,4979.28,8961,11,
Denise Wilcox,True,True,program coordinator,male,64,event planning,Quezon City,active,Literacy Drive,164,1.85,2643.06,1500,2024-03-09,2643.06,14024,32,
Tony Edwards,False,False,,male,27,cooking,Manila,active,Health Mission,0,,775.34,0,2024-09-01,775.34,9528,46,denied
Stephanie Clark,False,False,,male,30,cooking,Baguio,inactive,Disaster Relief,0,,4834.08,0,2024-05-01,4834.08,13615,30,approved
Donald Allen,False,False,,female,53,event planning,Manila,active,Literacy Drive,0,,982.48,0,2022-08-23,982.48,11421,36,denied
Jeffrey Becker,False,True,,female,59,cooking,Iloilo,active,Tree Planting,161,3.75,395.08,0,2022-10-29,395.08,19885,49,
Monique Rodriguez,False,True,,female,29,event planning,Cebu,active,Feeding Program,9,1.58,1820.56,0,2023-08-24,1820.56,10340,40,
Jenna Lopez,False,True,,female,33,nursing,Manila,active,Disaster Relief,166,3.91,655.62,0,2023-10-24,655.62,12146,36,
Eric Jenkins,True,True,financial coordinator,female,45,teaching,Iloilo,active,Disaster Relief,64,3.51,33.92,500,2024-04-11,33.92,10069,27,
Janet Mcconnell,False,False,,female,33,nursing,Baguio,inactive,Tree Planting,0,,3638.06,0,2023-04-12,3638.06,16163,17,approved
Barry Smith,False,False,,female,63,nursing,Manila,inactive,Feeding Program,0,,334.11,0,2023-10-11,334.11,6707,43,majority approved
